l,volume,execution_time,id,provider,model_id,score_obtained,score_max,status,ai_answer,correct_answer,error,label,latency,mismatches,reasoning_effort,system_prompt,token_usage,type
11,167,2026-02-04 14:58:41,Accounting_Q2,OpenAI,gpt-5.2,4,8,PARTIAL,"{""q1"":2142700,""q2"":0,""q3"":180,""q4"":170}","[{""q1"":{""value"":1561000,""score"":2},""q2"":{""value"":242250,""score"":2},""q3"":{""value"":180,""score"":2},""q4"":{""value"":170,""score"":2}}]",,会計学 第2問 (一株当たり利益等),45527,"[""Mismatch in scored unit root.q1"",""Mismatch root.q1: Expected 1561000, Got 2142700"",""Mismatch in scored unit root.q2"",""Mismatch root.q2: Expected 242250, Got 0""]",high,あなたは日商簿記3級の受験者です。問題文と指定されたフォーマットに従い、正確に解答してください。リスト形式やネストされた構造の回答が求められる場合は、必要な行数を生成して入力してください。,"{""input"":1141,""output"":2876,""total"":4017}",TABLE_FILLING
12,167,2026-02-04 14:58:41,Accounting_Q3,OpenAI,gpt-5.2,3,12,PARTIAL,"{""q1_1"":11000,""q1_2"":73000,""q1_3"":2000,""q1_4"":65500,""q1_5"":420000,""q1_6"":230000,""q2_1"":48000,""q2_2"":300000,""q2_3"":248000}","[{""q1_1"":{""value"":11000,""score"":1},""q1_2"":{""value"":3000,""score"":1},""q1_3"":{""value"":2000,""score"":1},""q1_4"":{""value"":65500,""score"":1},""q1_5"":{""value"":350000,""score"":1},""q1_6"":{""value"":195000,""score"":1},""q2_1"":{""value"":12000,""score"":2},""q2_2"":{""value"":328000,""score"":2},""q2_3"":{""value"":244000,""score"":2}}]",,会計学 第3問 (事業分離),303242,"[""Mismatch in scored unit root.q1_2"",""Mismatch root.q1_2: Expected 3000, Got 73000"",""Mismatch in scored unit root.q1_5"",""Mismatch root.q1_5: Expected 350000, Got 420000"",""Mismatch in scored unit root.q1_6"",""Mismatch root.q1_6: Expected 195000, Got 230000"",""Mismatch in scored unit root.q2_1"",""Mismatch root.q2_1: Expected 12000, Got 48000"",""Mismatch in scored unit root.q2_2"",""Mismatch root.q2_2: Expected 328000, Got 300000"",""Mismatch in scored unit root.q2_3"",""Mismatch root.q2_3: Expected 244000, Got 248000""]",high,あなたは日商簿記3級の受験者です。問題文と指定されたフォーマットに従い、正確に解答してください。リスト形式やネストされた構造の回答が求められる場合は、必要な行数を生成して入力してください。,"{""input"":1980,""output"":17889,""total"":19869}",TABLE_FILLING
13,167,2026-02-04 14:58:41,Commercial_Q1,OpenAI,gpt-5.2,7,14,PARTIAL,"{""sections"":[{""sectionName"":""損益計算書(単位:千円)"",""items"":[{""account"":""売上高"",""amount"":559887},{""account"":""売上原価"",""amount"":406500},{""account"":""売上総利益"",""amount"":153387},{""account"":""販売費及び一般管理費"",""amount"":null},{""account"":""販売費"",""amount"":14000},{""account"":""支払手数料"",""amount"":5030},{""account"":""貸倒引当金繰入額"",""amount"":730},{""account"":""給料手当"",""amount"":35000},{""account"":""減価償却費"",""amount"":32900},{""account"":""ソフトウェア償却費"",""amount"":5000},{""account"":""退職給付費用"",""amount"":9768},{""account"":""株式報酬費用"",""amount"":3600},{""account"":""一般管理費"",""amount"":18000},{""account"":""販売費及び一般管理費合計"",""amount"":124028},{""account"":""営業利益"",""amount"":29359},{""account"":""営業外収益"",""amount"":null},{""account"":""受取配当金"",""amount"":4000},{""account"":""営業外収益合計"",""amount"":4000},{""account"":""営業外費用"",""amount"":null},{""account"":""支払利息"",""amount"":2000},{""account"":""営業外費用合計"",""amount"":2000},{""account"":""経常利益"",""amount"":31359},{""account"":""特別利益"",""amount"":null},{""account"":""投資有価証券売却益"",""amount"":600},{""account"":""特別利益合計"",""amount"":600},{""account"":""特別損失"",""amount"":null},{""account"":""減損損失"",""amount"":23580},{""account"":""特別損失合計"",""amount"":23580},{""account"":""税引前当期純利益"",""amount"":8379},{""account"":""法人税、住民税及び事業税"",""amount"":8000},{""account"":""当期純利益"",""amount"":379}]}]}","[{""title"":""損益計算書"",""sections"":[{""sectionName"":""損益計算書"",""items"":[{""account"":""売上高"",""amount"":560000,""score"":2},{""account"":""売上原価"",""amount"":408240,""score"":1},{""account"":""売上総利益"",""amount"":151760,""score"":0},{""account"":""販売費"",""amount"":14000,""score"":0},{""account"":""支払手数料"",""amount"":5060,""score"":1},{""account"":""貸倒引当金繰入額"",""amount"":730,""score"":1},{""account"":""給料手当"",""amount"":35000,""score"":0},{""account"":""減価償却費"",""amount"":32000,""score"":1},{""account"":""ソフトウェア償却費"",""amount"":6800,""score"":1},{""account"":""退職給付費用"",""amount"":9768,""score"":1},{""account"":""株式報酬費用"",""amount"":3600,""score"":1},{""account"":""一般管理費"",""amount"":18000,""score"":1},{""account"":""販売費及び一般管理費合計"",""amount"":124958,""score"":0},{""account"":""営業利益"",""amount"":26802,""score"":0},{""account"":""受取配当金"",""amount"":4000,""score"":0},{""account"":""営業外収益合計"",""amount"":4000,""score"":0},{""account"":""支払利息"",""amount"":2000,""score"":0},{""account"":""営業外費用合計"",""amount"":2000,""score"":0},{""account"":""経常利益"",""amount"":28802,""score"":0},{""account"":""投資有価証券売却益"",""amount"":600,""score"":1},{""account"":""特別利益合計"",""amount"":600,""score"":0},{""account"":""減損損失"",""amount"":23580,""score"":1},{""account"":""特別損失合計"",""amount"":23580,""score"":0},{""account"":""税引前当期純利益"",""amount"":5822,""score"":0},{""account"":""法人税、住民税及び事業税"",""amount"":8000,""score"":1},{""account"":""当期純利益"",""amount"":-2178,""score"":1}]}]}]",,商業簿記 問1 (損益計算書),123316,"[""Mismatch in 損益計算書 売上高: Expected {\""account\"":\""売上高\"",\""amount\"":560000}, Got {\""account\"":\""売上高\"",\""amount\"":559887}"",""Mismatch in 損益計算書 売上原価: Expected {\""account\"":\""売上原価\"",\""amount\"":408240}, Got {\""account\"":\""売上原価\"",\""amount\"":406500}"",""Mismatch in 損益計算書 支払手数料: Expected {\""account\"":\""支払手数料\"",\""amount\"":5060}, Got {\""account\"":\""支払手数料\"",\""amount\"":5030}"",""Mismatch in 損益計算書 減価償却費: Expected {\""account\"":\""減価償却費\"",\""amount\"":32000}, Got {\""account\"":\""減価償却費\"",\""amount\"":32900}"",""Mismatch in 損益計算書 ソフトウェア償却費: Expected {\""account\"":\""ソフトウェア償却費\"",\""amount\"":6800}, Got {\""account\"":\""ソフトウェア償却費\"",\""amount\"":5000}"",""Mismatch in 損益計算書 当期純利益: Expected {\""account\"":\""当期純利益\"",\""amount\"":-2178}, Got {\""account\"":\""当期純利益\"",\""amount\"":379}""]",high,あなたは日商簿記3級の受験者です。問題文と指定されたフォーマットに従い、正確に解答してください。リスト形式やネストされた構造の回答が求められる場合は、必要な行数を生成して入力してください。,"{""input"":3382,""output"":6406,""total"":9788}",FINANCIAL_STATEMENTS
14,167,2026-02-04 14:58:41,Commercial_Q2,OpenAI,gpt-5.2,2,2,PERFECT,"{""usage_value"":94019}","[{""usage_value"":{""value"":94019,""score"":2}}]",,商業簿記 問2 (使用価値),7824,[],high,あなたは日商簿記3級の受験者です。問題文と指定されたフォーマットに従い、正確に解答してください。リスト形式やネストされた構造の回答が求められる場合は、必要な行数を生成して入力してください。,"{""input"":2848,""output"":403,""total"":3251}",TABLE_FILLING
15,167,2026-02-04 14:58:41,Commercial_Q3,OpenAI,gpt-5.2,3,9,PARTIAL,"{""inventory"":67600,""land"":523503,""goodwill"":6080,""capital_surplus"":100370,""retained_earnings"":263059,""non_controlling_interests"":10900,""sales"":654887,""cogs"":448400,""other_comprehensive_income"":4100}","[{""inventory"":{""value"":68860,""score"":1},""land"":{""value"":523500,""score"":1},""goodwill"":{""value"":6080,""score"":1},""capital_surplus"":{""value"":100400,""score"":1},""retained_earnings"":{""value"":260502,""score"":1},""non_controlling_interests"":{""value"":10900,""score"":1},""sales"":{""value"":655000,""score"":1},""cogs"":{""value"":450140,""score"":1},""other_comprehensive_income"":{""value"":4100,""score"":1}}]",,商業簿記 問3 (連結財務諸表項目),1154454,"[""Mismatch in scored unit root.inventory"",""Mismatch root.inventory: Expected 68860, Got 67600"",""Mismatch in scored unit root.land"",""Mismatch root.land: Expected 523500, Got 523503"",""Mismatch in scored unit root.capital_surplus"",""Mismatch root.capital_surplus: Expected 100400, Got 100370"",""Mismatch in scored unit root.retained_earnings"",""Mismatch root.retained_earnings: Expected 260502, Got 263059"",""Mismatch in scored unit root.sales"",""Mismatch root.sales: Expected 655000, Got 654887"",""Mismatch in scored unit root.cogs"",""Mismatch root.cogs: Expected 450140, Got 448400""]",high,あなたは日商簿記3級の受験者です。問題文と指定されたフォーマットに従い、正確に解答してください。リスト形式やネストされた構造の回答が求められる場合は、必要な行数を生成して入力してください。,"{""input"":3230,""output"":32934,""total"":36164}",TABLE_FILLING
16,167,2026-02-04 14:58:41,Cost_Q1,OpenAI,gpt-5.2,12,12,PERFECT,"{""q1"":35000,""q2"":""販売価格差異"",""q3"":402000,""q4"":""販売数量差異"",""q5"":395000,""q6"":""値上げ"",""q7"":278000,""q8"":117000,""q9"":""市場総需要量差異"",""q10"":""市場占有率差異"",""q11"":546000,""q12"":455000}","[{""q1"":{""value"":35000,""score"":1},""q2"":{""value"":""販売価格差異"",""score"":1},""q3"":{""value"":402000,""score"":1},""q4"":{""value"":""販売数量差異"",""score"":1},""q5"":{""value"":395000,""score"":1},""q6"":{""value"":""値上げ"",""score"":1},""q7"":{""value"":278000,""score"":1},""q8"":{""value"":117000,""score"":1},""q9"":{""value"":""市場総需要量差異"",""score"":1},""q10"":{""value"":""市場占有率差異"",""score"":1},""q11"":{""value"":546000,""score"":1},""q12"":{""value"":455000,""score"":1}}]",,原価計算 第1問 (差異分析),42609,[],high,あなたは日商簿記3級の受験者です。問題文と指定されたフォーマットに従い、正確に解答してください。リスト形式やネストされた構造の回答が求められる場合は、必要な行数を生成して入力してください。,"{""input"":2814,""output"":2928,""total"":5742}",TABLE_FILLING
17,167,2026-02-04 14:58:41,Cost_Q2,OpenAI,gpt-5.2,13,13,PERFECT,"{""q1_a"":4000,""q1_b"":1500,""q2_a"":4600,""q2_b"":1125,""q3"":775}","[{""q1_a"":{""value"":4000,""score"":2.5},""q1_b"":{""value"":1500,""score"":2.5},""q2_a"":{""value"":4600,""score"":2.5},""q2_b"":{""value"":1125,""score"":2.5},""q3"":{""value"":775,""score"":3}}]",,原価計算 第2問 (最適セールス・ミックス),54388,[],high,あなたは日商簿記3級の受験者です。問題文と指定されたフォーマットに従い、正確に解答してください。リスト形式やネストされた構造の回答が求められる場合は、必要な行数を生成して入力してください。,"{""input"":938,""output"":3294,""total"":4232}",TABLE_FILLING
18,167,2026-02-04 14:58:41,Industrial_Q1_5,OpenAI,gpt-5.2,23,25,PARTIAL,"{""q1"":86240,""q2"":260000,""q3_dept1"":95200,""q3_dept2"":98000,""q4"":216320,""material_debit_month_start"":63760,""material_debit_month_receipt"":293600,""material_credit_month_consume"":292240,""material_credit_month_end"":65120,""wip_debit_month_start"":270000,""wip_debit_month_cost"":7872240,""wip_credit_products"":7925920,""wip_credit_month_end"":216320}","[{""q1"":{""value"":86240,""score"":3},""q2"":{""value"":260000,""score"":3},""q3_dept1"":{""value"":95200,""score"":3},""q3_dept2"":{""value"":98000,""score"":3},""q4"":{""value"":216320,""score"":5},""material_debit_month_start"":{""value"":63760,""score"":1},""material_debit_month_receipt"":{""value"":2099600,""score"":1},""material_credit_month_consume"":{""value"":2098240,""score"":1},""material_credit_month_end"":{""value"":65120,""score"":1},""wip_debit_month_start"":{""value"":270000,""score"":1},""wip_debit_month_cost"":{""value"":7872240,""score"":1},""wip_credit_products"":{""value"":7925920,""score"":1},""wip_credit_month_end"":{""value"":216320,""score"":1}}]",,工業簿記 (工程別組別総合原価計算),111211,"[""Mismatch in scored unit root.material_debit_month_receipt"",""Mismatch root.material_debit_month_receipt: Expected 2099600, Got 293600"",""Mismatch in scored unit root.material_credit_month_consume"",""Mismatch root.material_credit_month_consume: Expected 2098240, Got 292240""]",high,あなたは日商簿記3級の受験者です。問題文と指定されたフォーマットに従い、正確に解答してください。リスト形式やネストされた構造の回答が求められる場合は、必要な行数を生成して入力してください。,"{""input"":4316,""output"":7704,""total"":12020}",TABLE_FILLING
19,167,2026-02-05 13:12:50,Accounting_Q1,OpenAI,gpt-5.2,5,5,PERFECT,"{""a"":""保証債務"",""b"":""後発事象"",""c"":""契約資産"",""d"":""減価償却費"",""e"":""総平均""}","[{""a"":{""value"":""保証債務"",""score"":1},""b"":{""value"":""後発事象"",""score"":1},""c"":{""value"":""契約資産"",""score"":1},""d"":{""value"":""減価償却費"",""score"":1},""e"":{""value"":""総平均"",""score"":1}}]",,会計学 第1問 (穴埋め),25319,[],high,あなたは日商簿記3級の受験者です。問題文と指定されたフォーマットに従い、正確に解答してください。リスト形式やネストされた構造の回答が求められる場合は、必要な行数を生成して入力してください。,"{""input"":828,""output"":1359,""total"":2187}",TABLE_FILLING
20,167,2026-02-05 13:12:50,Accounting_Q2,OpenAI,gpt-5.2,4,8,PARTIAL,"{""q1"":3061000,""q2"":0,""q3"":180,""q4"":170}","[{""q1"":{""value"":1561000,""score"":2},""q2"":{""value"":242250,""score"":2},""q3"":{""value"":180,""score"":2},""q4"":{""value"":170,""score"":2}}]",,会計学 第2問 (一株当たり利益等),49281,"[""Mismatch in scored unit root.q1"",""Mismatch root.q1: Expected 1561000, Got 3061000"",""Mismatch in scored unit root.q2"",""Mismatch root.q2: Expected 242250, Got 0""]",high,あなたは日商簿記3級の受験者です。問題文と指定されたフォーマットに従い、正確に解答してください。リスト形式やネストされた構造の回答が求められる場合は、必要な行数を生成して入力してください。,"{""input"":1141,""output"":2832,""total"":3973}",TABLE_FILLING
