l,volume,execution_time,id,provider,score_obtained,score_max,status,ai_answer,correct_answer,error,label,latency,mismatches,system_prompt,type,tac_id,model_id
11,10,2026-01-03 10:04:13,Q1-2,OpenAI,0,4,FAIL,"{""debit"":[{""account"":""仮受消費税"",""amount"":2060000},{""account"":""未払消費税"",""amount"":240000}],""credit"":[{""account"":""仮払消費税"",""amount"":2300000},{""account"":null,""amount"":null}]}","[{""debit"":[{""account"":""仮受消費税"",""amount"":2060000},{""account"":""未収還付消費税"",""amount"":240000}],""credit"":[{""account"":""仮払消費税"",""amount"":2300000}]}]",,第1問 (2) 仕訳問題,3579,"[""Missing/Incorrect Entry: {\""credit\"":[{\""account\"":\""仮払消費税\"",\""amount\"":2300000}],\""day\"":null,\""debit\"":[{\""account\"":\""仮受消費税\"",\""amount\"":2060000},{\""account\"":\""未収還付消費税\"",\""amount\"":240000}]}"",""Extra Entry (AI): {\""credit\"":[{\""account\"":\""仮払消費税\"",\""amount\"":2300000}],\""day\"":null,\""debit\"":[{\""account\"":\""仮受消費税\"",\""amount\"":2060000},{\""account\"":\""未払消費税\"",\""amount\"":240000}]}""]",あなたは日商簿記3級の受験者です。問題文と指定されたフォーマットに従い、正確に解答してください。リスト形式やネストされた構造の回答が求められる場合は、必要な行数を生成して入力してください。,JOURNAL,grade2_volume10,gpt-5.2
12,10,2026-01-03 10:22:47,Q1-2,OpenAI,0,4,FAIL,"{""debit"":[{""account"":""仮受消費税"",""amount"":2060000},{""account"":""租税公課"",""amount"":240000}],""credit"":[{""account"":""仮払消費税"",""amount"":2300000},{""account"":""未払消費税"",""amount"":240000}]}","[{""debit"":[{""account"":""仮受消費税"",""amount"":2060000},{""account"":""未収還付消費税"",""amount"":240000}],""credit"":[{""account"":""仮払消費税"",""amount"":2300000}]}]",,第1問 (2) 仕訳問題,1482,"[""Missing/Incorrect Entry: {\""credit\"":[{\""account\"":\""仮払消費税\"",\""amount\"":2300000}],\""day\"":null,\""debit\"":[{\""account\"":\""仮受消費税\"",\""amount\"":2060000},{\""account\"":\""未収還付消費税\"",\""amount\"":240000}]}"",""Extra Entry (AI): {\""credit\"":[{\""account\"":\""仮払消費税\"",\""amount\"":2300000},{\""account\"":\""未払消費税\"",\""amount\"":240000}],\""day\"":null,\""debit\"":[{\""account\"":\""仮受消費税\"",\""amount\"":2060000},{\""account\"":\""租税公課\"",\""amount\"":240000}]}""]",あなたは日商簿記3級の受験者です。問題文と指定されたフォーマットに従い、正確に解答してください。リスト形式やネストされた構造の回答が求められる場合は、必要な行数を生成して入力してください。,JOURNAL,grade2_volume10,gpt-5.2
13,10,2026-01-03 09:48:39,Q1-3,Gemini,4,4,PERFECT,"{""debit"":[{""account"":""満期保有目的債券"",""amount"":99200000},{""account"":""有価証券利息"",""amount"":40000}],""credit"":[{""account"":""普通預金"",""amount"":99240000}]}","[{""debit"":[{""account"":""満期保有目的債券"",""amount"":99200000},{""account"":""有価証券利息"",""amount"":40000}],""credit"":[{""account"":""普通預金"",""amount"":99240000}]}]",,第1問 (3) 仕訳問題,21014,[],あなたは日商簿記3級の受験者です。問題文と指定されたフォーマットに従い、正確に解答してください。リスト形式やネストされた構造の回答が求められる場合は、必要な行数を生成して入力してください。,JOURNAL,grade2_volume10,gemini-3-pro-preview
14,10,2026-01-03 10:04:13,Q1-3,Gemini,4,4,PERFECT,"{""debit"":[{""account"":""満期保有目的債券"",""amount"":99200000},{""account"":""有価証券利息"",""amount"":40000}],""credit"":[{""account"":""普通預金"",""amount"":99240000}]}","[{""debit"":[{""account"":""満期保有目的債券"",""amount"":99200000},{""account"":""有価証券利息"",""amount"":40000}],""credit"":[{""account"":""普通預金"",""amount"":99240000}]}]",,第1問 (3) 仕訳問題,28242,[],あなたは日商簿記3級の受験者です。問題文と指定されたフォーマットに従い、正確に解答してください。リスト形式やネストされた構造の回答が求められる場合は、必要な行数を生成して入力してください。,JOURNAL,grade2_volume10,gemini-3-pro-preview
15,10,2026-01-03 10:22:47,Q1-3,Gemini,4,4,PERFECT,"{""debit"":[{""account"":""満期保有目的債券"",""amount"":99200000},{""account"":""有価証券利息"",""amount"":40000}],""credit"":[{""account"":""普通預金"",""amount"":99240000}]}","[{""debit"":[{""account"":""満期保有目的債券"",""amount"":99200000},{""account"":""有価証券利息"",""amount"":40000}],""credit"":[{""account"":""普通預金"",""amount"":99240000}]}]",,第1問 (3) 仕訳問題,23868,[],あなたは日商簿記3級の受験者です。問題文と指定されたフォーマットに従い、正確に解答してください。リスト形式やネストされた構造の回答が求められる場合は、必要な行数を生成して入力してください。,JOURNAL,grade2_volume10,gemini-3-pro-preview
16,10,2026-01-03 09:48:39,Q1-3,OpenAI,0,4,FAIL,"{""debit"":[{""account"":""満期保有目的債券"",""amount"":99000000},{""account"":""支払手数料"",""amount"":200000}],""credit"":[{""account"":""普通預金"",""amount"":99016438},{""account"":""普通預金"",""amount"":200000}]}","[{""debit"":[{""account"":""満期保有目的債券"",""amount"":99200000},{""account"":""有価証券利息"",""amount"":40000}],""credit"":[{""account"":""普通預金"",""amount"":99240000}]}]",,第1問 (3) 仕訳問題,1557,"[""Missing/Incorrect Entry: {\""credit\"":[{\""account\"":\""普通預金\"",\""amount\"":99240000}],\""day\"":null,\""debit\"":[{\""account\"":\""満期保有目的債券\"",\""amount\"":99200000},{\""account\"":\""有価証券利息\"",\""amount\"":40000}]}"",""Extra Entry (AI): {\""credit\"":[{\""account\"":\""普通預金\"",\""amount\"":200000},{\""account\"":\""普通預金\"",\""amount\"":99016438}],\""day\"":null,\""debit\"":[{\""account\"":\""支払手数料\"",\""amount\"":200000},{\""account\"":\""満期保有目的債券\"",\""amount\"":99000000}]}""]",あなたは日商簿記3級の受験者です。問題文と指定されたフォーマットに従い、正確に解答してください。リスト形式やネストされた構造の回答が求められる場合は、必要な行数を生成して入力してください。,JOURNAL,grade2_volume10,gpt-5.2
17,10,2026-01-03 10:04:13,Q1-3,OpenAI,0,4,FAIL,"{""debit"":[{""account"":""満期保有目的債券"",""amount"":99000000},{""account"":""支払手数料"",""amount"":200000}],""credit"":[{""account"":""普通預金"",""amount"":99215890},{""account"":""有価証券利息"",""amount"":215890}]}","[{""debit"":[{""account"":""満期保有目的債券"",""amount"":99200000},{""account"":""有価証券利息"",""amount"":40000}],""credit"":[{""account"":""普通預金"",""amount"":99240000}]}]",,第1問 (3) 仕訳問題,1495,"[""Missing/Incorrect Entry: {\""credit\"":[{\""account\"":\""普通預金\"",\""amount\"":99240000}],\""day\"":null,\""debit\"":[{\""account\"":\""満期保有目的債券\"",\""amount\"":99200000},{\""account\"":\""有価証券利息\"",\""amount\"":40000}]}"",""Extra Entry (AI): {\""credit\"":[{\""account\"":\""普通預金\"",\""amount\"":99215890},{\""account\"":\""有価証券利息\"",\""amount\"":215890}],\""day\"":null,\""debit\"":[{\""account\"":\""支払手数料\"",\""amount\"":200000},{\""account\"":\""満期保有目的債券\"",\""amount\"":99000000}]}""]",あなたは日商簿記3級の受験者です。問題文と指定されたフォーマットに従い、正確に解答してください。リスト形式やネストされた構造の回答が求められる場合は、必要な行数を生成して入力してください。,JOURNAL,grade2_volume10,gpt-5.2
18,10,2026-01-03 10:22:47,Q1-3,OpenAI,0,4,FAIL,"{""debit"":[{""account"":""満期保有目的債券"",""amount"":99000000},{""account"":""支払手数料"",""amount"":200000}],""credit"":[{""account"":""普通預金"",""amount"":99219178},{""account"":""有価証券利息"",""amount"":-19178}]}","[{""debit"":[{""account"":""満期保有目的債券"",""amount"":99200000},{""account"":""有価証券利息"",""amount"":40000}],""credit"":[{""account"":""普通預金"",""amount"":99240000}]}]",,第1問 (3) 仕訳問題,27386,"[""Missing/Incorrect Entry: {\""credit\"":[{\""account\"":\""普通預金\"",\""amount\"":99240000}],\""day\"":null,\""debit\"":[{\""account\"":\""満期保有目的債券\"",\""amount\"":99200000},{\""account\"":\""有価証券利息\"",\""amount\"":40000}]}"",""Extra Entry (AI): {\""credit\"":[{\""account\"":\""普通預金\"",\""amount\"":99219178},{\""account\"":\""有価証券利息\"",\""amount\"":-19178}],\""day\"":null,\""debit\"":[{\""account\"":\""支払手数料\"",\""amount\"":200000},{\""account\"":\""満期保有目的債券\"",\""amount\"":99000000}]}""]",あなたは日商簿記3級の受験者です。問題文と指定されたフォーマットに従い、正確に解答してください。リスト形式やネストされた構造の回答が求められる場合は、必要な行数を生成して入力してください。,JOURNAL,grade2_volume10,gpt-5.2
19,10,2026-01-03 09:48:39,Q1-4,Gemini,4,4,PERFECT,"{""debit"":[{""account"":""給料"",""amount"":400000},{""account"":""退職給付引当金"",""amount"":19800000},{""account"":""退職給付費用"",""amount"":1200000}],""credit"":[{""account"":""所得税預り金"",""amount"":470000},{""account"":""住民税預り金"",""amount"":30000},{""account"":""当座預金"",""amount"":20900000}]}","[{""debit"":[{""account"":""給料"",""amount"":400000},{""account"":""退職給付引当金"",""amount"":19800000},{""account"":""退職給付費用"",""amount"":1200000}],""credit"":[{""account"":""当座預金"",""amount"":20900000},{""account"":""所得税預り金"",""amount"":470000},{""account"":""住民税預り金"",""amount"":30000}]}]",,第1問 (4) 仕訳問題,25102,[],あなたは日商簿記3級の受験者です。問題文と指定されたフォーマットに従い、正確に解答してください。リスト形式やネストされた構造の回答が求められる場合は、必要な行数を生成して入力してください。,JOURNAL,grade2_volume10,gemini-3-pro-preview
20,10,2026-01-03 10:04:13,Q1-4,Gemini,4,4,PERFECT,"{""debit"":[{""account"":""退職給付引当金"",""amount"":19800000},{""account"":""退職給付費用"",""amount"":1200000},{""account"":""給料"",""amount"":400000}],""credit"":[{""account"":""当座預金"",""amount"":20900000},{""account"":""所得税預り金"",""amount"":470000},{""account"":""住民税預り金"",""amount"":30000}]}","[{""debit"":[{""account"":""給料"",""amount"":400000},{""account"":""退職給付引当金"",""amount"":19800000},{""account"":""退職給付費用"",""amount"":1200000}],""credit"":[{""account"":""当座預金"",""amount"":20900000},{""account"":""所得税預り金"",""amount"":470000},{""account"":""住民税預り金"",""amount"":30000}]}]",,第1問 (4) 仕訳問題,29919,[],あなたは日商簿記3級の受験者です。問題文と指定されたフォーマットに従い、正確に解答してください。リスト形式やネストされた構造の回答が求められる場合は、必要な行数を生成して入力してください。,JOURNAL,grade2_volume10,gemini-3-pro-preview
21,10,2026-01-03 10:22:47,Q1-4,Gemini,4,4,PERFECT,"{""debit"":[{""account"":""給料"",""amount"":400000},{""account"":""退職給付引当金"",""amount"":19800000},{""account"":""退職給付費用"",""amount"":1200000}],""credit"":[{""account"":""所得税預り金"",""amount"":470000},{""account"":""住民税預り金"",""amount"":30000},{""account"":""当座預金"",""amount"":20900000}]}","[{""debit"":[{""account"":""給料"",""amount"":400000},{""account"":""退職給付引当金"",""amount"":19800000},{""account"":""退職給付費用"",""amount"":1200000}],""credit"":[{""account"":""当座預金"",""amount"":20900000},{""account"":""所得税預り金"",""amount"":470000},{""account"":""住民税預り金"",""amount"":30000}]}]",,第1問 (4) 仕訳問題,19467,[],あなたは日商簿記3級の受験者です。問題文と指定されたフォーマットに従い、正確に解答してください。リスト形式やネストされた構造の回答が求められる場合は、必要な行数を生成して入力してください。,JOURNAL,grade2_volume10,gemini-3-pro-preview
22,10,2026-01-03 09:48:39,Q1-4,OpenAI,0,4,FAIL,"{""debit"":[{""account"":""給料"",""amount"":400000},{""account"":""退職給付引当金"",""amount"":19800000}],""credit"":[{""account"":""所得税預り金"",""amount"":470000},{""account"":""住民税預り金"",""amount"":30000},{""account"":""当座預金"",""amount"":20700000}]}","[{""debit"":[{""account"":""給料"",""amount"":400000},{""account"":""退職給付引当金"",""amount"":19800000},{""account"":""退職給付費用"",""amount"":1200000}],""credit"":[{""account"":""当座預金"",""amount"":20900000},{""account"":""所得税預り金"",""amount"":470000},{""account"":""住民税預り金"",""amount"":30000}]}]",,第1問 (4) 仕訳問題,1765,"[""Missing/Incorrect Entry: {\""credit\"":[{\""account\"":\""住民税預り金\"",\""amount\"":30000},{\""account\"":\""所得税預り金\"",\""amount\"":470000},{\""account\"":\""当座預金\"",\""amount\"":20900000}],\""day\"":null,\""debit\"":[{\""account\"":\""給料\"",\""amount\"":400000},{\""account\"":\""退職給付引当金\"",\""amount\"":19800000},{\""account\"":\""退職給付費用\"",\""amount\"":1200000}]}"",""Extra Entry (AI): {\""credit\"":[{\""account\"":\""住民税預り金\"",\""amount\"":30000},{\""account\"":\""所得税預り金\"",\""amount\"":470000},{\""account\"":\""当座預金\"",\""amount\"":20700000}],\""day\"":null,\""debit\"":[{\""account\"":\""給料\"",\""amount\"":400000},{\""account\"":\""退職給付引当金\"",\""amount\"":19800000}]}""]",あなたは日商簿記3級の受験者です。問題文と指定されたフォーマットに従い、正確に解答してください。リスト形式やネストされた構造の回答が求められる場合は、必要な行数を生成して入力してください。,JOURNAL,grade2_volume10,gpt-5.2
23,10,2026-01-03 10:04:13,Q1-4,OpenAI,0,4,FAIL,"{""debit"":[{""account"":""給料"",""amount"":400000},{""account"":""退職給付引当金"",""amount"":19800000}],""credit"":[{""account"":""当座預金"",""amount"":20900000},{""account"":""所得税預り金"",""amount"":470000},{""account"":""住民税預り金"",""amount"":30000}]}","[{""debit"":[{""account"":""給料"",""amount"":400000},{""account"":""退職給付引当金"",""amount"":19800000},{""account"":""退職給付費用"",""amount"":1200000}],""credit"":[{""account"":""当座預金"",""amount"":20900000},{""account"":""所得税預り金"",""amount"":470000},{""account"":""住民税預り金"",""amount"":30000}]}]",,第1問 (4) 仕訳問題,8112,"[""Missing/Incorrect Entry: {\""credit\"":[{\""account\"":\""住民税預り金\"",\""amount\"":30000},{\""account\"":\""所得税預り金\"",\""amount\"":470000},{\""account\"":\""当座預金\"",\""amount\"":20900000}],\""day\"":null,\""debit\"":[{\""account\"":\""給料\"",\""amount\"":400000},{\""account\"":\""退職給付引当金\"",\""amount\"":19800000},{\""account\"":\""退職給付費用\"",\""amount\"":1200000}]}"",""Extra Entry (AI): {\""credit\"":[{\""account\"":\""住民税預り金\"",\""amount\"":30000},{\""account\"":\""所得税預り金\"",\""amount\"":470000},{\""account\"":\""当座預金\"",\""amount\"":20900000}],\""day\"":null,\""debit\"":[{\""account\"":\""給料\"",\""amount\"":400000},{\""account\"":\""退職給付引当金\"",\""amount\"":19800000}]}""]",あなたは日商簿記3級の受験者です。問題文と指定されたフォーマットに従い、正確に解答してください。リスト形式やネストされた構造の回答が求められる場合は、必要な行数を生成して入力してください。,JOURNAL,grade2_volume10,gpt-5.2
24,10,2026-01-03 10:22:47,Q1-4,OpenAI,0,4,FAIL,"{""debit"":[{""account"":""給料"",""amount"":400000},{""account"":""退職給付引当金"",""amount"":19800000}],""credit"":[{""account"":""当座預金"",""amount"":20900000},{""account"":""所得税預り金"",""amount"":470000},{""account"":""住民税預り金"",""amount"":30000}]}","[{""debit"":[{""account"":""給料"",""amount"":400000},{""account"":""退職給付引当金"",""amount"":19800000},{""account"":""退職給付費用"",""amount"":1200000}],""credit"":[{""account"":""当座預金"",""amount"":20900000},{""account"":""所得税預り金"",""amount"":470000},{""account"":""住民税預り金"",""amount"":30000}]}]",,第1問 (4) 仕訳問題,23166,"[""Missing/Incorrect Entry: {\""credit\"":[{\""account\"":\""住民税預り金\"",\""amount\"":30000},{\""account\"":\""所得税預り金\"",\""amount\"":470000},{\""account\"":\""当座預金\"",\""amount\"":20900000}],\""day\"":null,\""debit\"":[{\""account\"":\""給料\"",\""amount\"":400000},{\""account\"":\""退職給付引当金\"",\""amount\"":19800000},{\""account\"":\""退職給付費用\"",\""amount\"":1200000}]}"",""Extra Entry (AI): {\""credit\"":[{\""account\"":\""住民税預り金\"",\""amount\"":30000},{\""account\"":\""所得税預り金\"",\""amount\"":470000},{\""account\"":\""当座預金\"",\""amount\"":20900000}],\""day\"":null,\""debit\"":[{\""account\"":\""給料\"",\""amount\"":400000},{\""account\"":\""退職給付引当金\"",\""amount\"":19800000}]}""]",あなたは日商簿記3級の受験者です。問題文と指定されたフォーマットに従い、正確に解答してください。リスト形式やネストされた構造の回答が求められる場合は、必要な行数を生成して入力してください。,JOURNAL,grade2_volume10,gpt-5.2
25,10,2026-01-03 09:48:39,Q1-5,Gemini,4,4,PERFECT,"{""debit"":[{""account"":""契約資産"",""amount"":300000}],""credit"":[{""account"":""売上"",""amount"":300000}]}","[{""debit"":[{""account"":""契約資産"",""amount"":300000}],""credit"":[{""account"":""売上"",""amount"":300000}]}]",,第1問 (5) 仕訳問題,13225,[],あなたは日商簿記3級の受験者です。問題文と指定されたフォーマットに従い、正確に解答してください。リスト形式やネストされた構造の回答が求められる場合は、必要な行数を生成して入力してください。,JOURNAL,grade2_volume10,gemini-3-pro-preview
26,10,2026-01-03 10:04:13,Q1-5,Gemini,4,4,PERFECT,"{""debit"":[{""account"":""契約資産"",""amount"":300000}],""credit"":[{""account"":""売上"",""amount"":300000}]}","[{""debit"":[{""account"":""契約資産"",""amount"":300000}],""credit"":[{""account"":""売上"",""amount"":300000}]}]",,第1問 (5) 仕訳問題,9913,[],あなたは日商簿記3級の受験者です。問題文と指定されたフォーマットに従い、正確に解答してください。リスト形式やネストされた構造の回答が求められる場合は、必要な行数を生成して入力してください。,JOURNAL,grade2_volume10,gemini-3-pro-preview
27,10,2026-01-03 10:22:47,Q1-5,Gemini,4,4,PERFECT,"{""debit"":[{""account"":""契約資産"",""amount"":300000}],""credit"":[{""account"":""売上"",""amount"":300000}]}","[{""debit"":[{""account"":""契約資産"",""amount"":300000}],""credit"":[{""account"":""売上"",""amount"":300000}]}]",,第1問 (5) 仕訳問題,13876,[],あなたは日商簿記3級の受験者です。問題文と指定されたフォーマットに従い、正確に解答してください。リスト形式やネストされた構造の回答が求められる場合は、必要な行数を生成して入力してください。,JOURNAL,grade2_volume10,gemini-3-pro-preview
28,10,2026-01-03 09:48:39,Q1-5,OpenAI,4,4,PERFECT,"{""debit"":[{""account"":""契約資産"",""amount"":300000},{""account"":""仕入"",""amount"":null}],""credit"":[{""account"":""売上"",""amount"":300000},{""account"":""繰越商品"",""amount"":null}]}","[{""debit"":[{""account"":""契約資産"",""amount"":300000}],""credit"":[{""account"":""売上"",""amount"":300000}]}]",,第1問 (5) 仕訳問題,1463,[],あなたは日商簿記3級の受験者です。問題文と指定されたフォーマットに従い、正確に解答してください。リスト形式やネストされた構造の回答が求められる場合は、必要な行数を生成して入力してください。,JOURNAL,grade2_volume10,gpt-5.2
